Node Number,Height,Location,Area,Mass Flow,Pressure,Velocity,Velocity.Curl,Velocity.Helicity,Wall Shear,X,Y,Z
27,Low,LCA,1.75832184e-07,-1.78642085e-06,1.60000000e+04,3.41677479e-02,5.58646584e+01,-6.63954020e-03,null,7.94206485e-02,1.06886037e-01,1.44615248e-02
28,Low,LCA,1.80147808e-07,-1.22960932e-06,1.60000000e+04,4.84508835e-02,4.36626587e+01,-1.67817473e-02,null,7.91389048e-02,1.07019678e-01,1.44906491e-02
29,Low,LCA,2.30516505e-07,-4.88396836e-07,1.60000000e+04,5.56368902e-02,3.59296722e+01,2.02307105e-02,null,7.88983032e-02,1.06982976e-01,1.47268241e-02
30,Low,LCA,1.02536340e-07,-1.40883139e-06,1.60000000e+04,3.12537886e-02,6.81163635e+01,5.44363558e-02,null,7.64171332e-02,1.07104860e-01,1.64614096e-02
31,Low,LCA,7.90631631e-08,-8.92107209e-07,1.60000000e+04,3.02280374e-02,6.60004425e+01,7.13675395e-02,null,7.68563226e-02,1.06782384e-01,1.65759437e-02
32,Low,LCA,7.55641949e-08,-2.09212931e-06,1.60000000e+04,3.99594754e-02,5.19714088e+01,1.21822260e-01,null,7.68706948e-02,1.06801875e-01,1.65376067e-02
33,Low,LCA,1.29059657e-07,-1.75001071e-06,1.60000000e+04,5.03211990e-02,4.14351959e+01,1.22786477e-01,null,7.67231062e-02,1.07082896e-01,1.62572209e-02
34,Low,LCA,7.71522792e-08,-6.50343907e-07,1.60000000e+04,4.70980220e-02,5.07912254e+01,1.09770238e-01,null,7.65759721e-02,1.07168116e-01,1.62508152e-02
35,Low,LCA,3.09837333e-07,-8.61480885e-07,1.60000000e+04,6.37029931e-02,2.53688183e+01,1.19789183e-01,null,7.81382769e-02,1.06915951e-01,1.54043725e-02
36,Low,LCA,3.78577568e-07,-7.92352523e-07,1.60000000e+04,7.19531849e-02,1.82827415e+01,9.05581713e-02,null,7.81047121e-02,1.07145227e-01,1.51089262e-02
37,Low,LCA,4.13687530e-07,-9.50902518e-07,1.60000000e+04,7.80881420e-02,9.44366360e+00,9.64749902e-02,null,7.74739385e-02,1.07537843e-01,1.50432475e-02
38,Low,LCA,3.55359703e-07,-7.51060384e-07,1.60000000e+04,7.39875063e-02,1.54650078e+01,1.61752999e-01,null,7.71334022e-02,1.07431270e-01,1.54540660e-02
39,Low,LCA,2.94906414e-07,-4.29759808e-07,1.60000000e+04,6.58101737e-02,2.53189716e+01,1.82706058e-01,null,7.72960857e-02,1.07090078e-01,1.58071518e-02
40,Low,LCA,2.94976360e-07,-6.98730275e-07,1.60000000e+04,6.16583489e-02,2.61114616e+01,1.52453870e-01,null,7.78057203e-02,1.06825620e-01,1.57863088e-02
41,Low,LCA,8.16457089e-08,-3.46050024e-06,1.60000000e+04,3.41061987e-02,7.44325867e+01,4.80294228e-02,null,7.55850300e-02,1.08358011e-01,1.53447166e-02
42,Low,LCA,1.00716925e-07,-2.67842893e-06,1.60000000e+04,3.56782675e-02,7.16895905e+01,6.20332956e-02,null,7.56931603e-02,1.08053625e-01,1.56881232e-02
